"project","bug_id","resource_dir","test_code_dir","algorithm","seed","search_budget_seconds","target_class","source_file","generation_seconds","generated_test_methods","test_execution","line_coverage_percent","branch_coverage_percent","status","error"
"Cli",21,"Resoucre/Cli_21","GenericAlgorithm/TestCode/Cli_21","STANDARD_GA",20260918,60,"org.apache.commons.cli2.commandline.WriteableCommandLineImpl","Resoucre/Cli_21/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java",70,30,"PASS",100.00,97.44,"ok",""
"Cli",21,"Resoucre/Cli_21","GenericAlgorithm/TestCode/Cli_21","STANDARD_GA",20260918,60,"org.apache.commons.cli2.option.GroupImpl","Resoucre/Cli_21/org/apache/commons/cli2/option/GroupImpl.java",73,24,"PASS",80.73,81.48,"ok",""
"Cli",21,"Resoucre/Cli_21","GenericAlgorithm/TestCode/Cli_21","STANDARD_GA",20260918,60,"org.apache.commons.cli2.WriteableCommandLine","Resoucre/Cli_21/org/apache/commons/cli2/WriteableCommandLine.java",1,1,"PASS",100.00,100.00,"ok",""
