"round","project","bug_id","seed","budget","tests","coverage","line_cov","branch_cov","total_goals","covered_goals","lines","covered_lines","total_branches","covered_branches","buggy_result","buggy_fails","fixed_result","fixed_fails","verdict"
1,"Cli",32,20260918,120,38,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",33,20260918,120,41,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",34,20260918,120,68,98.52,97.49,99.56,309,303,64,172,92,91,"FAIL",2,"FAIL",2,"INCONCLUSIVE"
1,"Cli",35,20260918,120,19,100,100,100,99,99,17,57,32,32,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Cli",36,20260918,120,28,100,100,100,161,161,26,94,50,50,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Cli",37,20260918,120,12,51.98,58.29,45.66,360,188,24,109,168,75,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Cli",38,20260918,120,15,57.58,65.45,49.71,364,211,24,125,168,82,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Cli",39,20260918,120,13,100,100,100,70,69,10,42,20,20,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Cli",3,20260918,120,7,95.49,85.45,89.29,83,71,10,47,20,17,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",40,20260918,120,12,77.32,82.22,72.41,74,57,11,37,20,12,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Cli",4,20260918,120,12,80.11,83.84,76.39,171,138,9,83,68,51,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",5,20260918,120,6,100,100,100,20,20,3,11,8,8,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",7,20260918,120,15,92.52,98.53,85.03,215,191,7,67,144,122,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",8,20260918,120,32,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Cli",9,20260918,120,14,84.07,87.62,80.52,182,153,12,92,70,55,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Closure",100,20260918,60,8,73.69,82.93,64.44,86,63,5,34,44,28,"PASS",0,"FAIL",2,"INCONCLUSIVE"
1,"Closure",101,20260918,60,5,56.32,75.95,36.84,196,130,14,119,32,8,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",102,20260918,60,8,38.82,47.57,30.07,338,133,25,88,142,35,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",103,20260918,60,23,29.88,30.62,29.15,1432,436,102,229,648,192,"FAIL",2,"FAIL",2,"INCONCLUSIVE"
1,"Closure",104,20260918,60,48,97.31,98.44,96.18,323,315,30,189,126,121,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",105,20260918,60,46,16.07,16.31,15.84,1903,297,46,159,916,143,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",106,20260918,60,113,68.18,71.31,65.21,1165,674,102,396,530,259,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Closure",107,20260918,60,5,50.1,35.02,22.34,411,124,30,109,78,13,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",108,20260918,60,1,16.31,17.83,14.79,427,71,27,46,156,19,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",109,20260918,60,31,24.42,26.75,22.88,1990,497,79,302,832,176,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",10,20260918,60,163,43.43,41.77,44.77,3722,1623,172,424,2658,1163,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",110,20260918,60,202,46.96,51.62,42.3,1983,1299,287,777,748,412,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Closure",111,20260918,60,3,27.3,27.85,26.76,150,41,22,22,46,5,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",112,20260918,60,3,0.41,0.42,0.26,1477,5,55,3,756,2,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",113,20260918,60,2,11.59,11.74,11.43,895,103,44,64,340,37,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",114,20260918,60,4,15.41,18.89,11.94,1297,205,80,139,536,62,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",115,20260918,60,8,9.38,12.94,5.81,544,51,31,37,242,12,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",116,20260918,60,11,12.53,15.47,9.6,528,64,31,43,234,21,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",117,20260918,60,4,4.48,6.72,2.25,490,23,38,18,210,2,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",118,20260918,60,11,12.21,14.98,9.43,825,103,63,68,354,29,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",119,20260918,60,54,28.94,34.51,23.64,976,278,81,164,460,86,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",11,20260918,60,15,15.39,11.39,19.4,1746,280,41,82,1018,193,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",120,20260918,60,35,42.51,54.41,30.61,400,165,54,111,168,38,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",121,20260918,60,3,4.86,6.21,3.52,546,26,32,18,250,7,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",122,20260918,60,10,25.27,17.86,32.67,1341,337,90,122,620,204,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",123,20260918,60,24,12.89,15.71,9.92,1419,170,35,100,764,66,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",124,20260918,60,1,6.67,8.75,4.6,167,11,7,7,86,3,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",125,20260918,60,10,13.67,9.59,17.75,1928,273,44,79,1096,190,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",126,20260918,60,6,28.92,24.51,33.33,180,50,7,25,76,24,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",127,20260918,60,1,6.49,9.09,3.9,154,9,9,7,74,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",128,20260918,60,22,13.07,15.06,10.94,1399,172,35,94,756,74,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",129,20260918,60,7,50.77,54.17,47.37,129,66,13,39,54,24,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",12,20260918,60,4,12.53,14.94,8.97,165,19,16,13,68,3,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",130,20260918,60,2,4.53,5.77,3.3,637,30,24,21,268,8,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",131,20260918,60,105,83.92,86.73,80.78,420,346,3,98,306,247,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",132,20260918,60,16,8.01,6.75,9.27,1356,102,52,50,604,55,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",133,20260918,60,27,24.69,26.26,23.12,1874,466,70,282,774,163,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",134,20260918,60,10,19.42,24.35,13.98,1454,237,74,171,604,57,"FAIL",2,"FAIL",2,"INCONCLUSIVE"
1,"Closure",135,20260918,60,69,49.14,51.03,47.29,761,501,62,274,324,211,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",136,20260918,60,17,51.36,58.7,44.01,438,242,26,161,170,76,"PASS",0,"PASS",0,"NOT_REVEALING"
