"project","bug_id","subject_status","subject_version","test_code_dir","test_class","execution_seconds","tests_run","failures","test_execution","test_status","error"
"Chart",16,"ok","fixed","GenericAlgorithm/TestCode/Chart_16","org.jfree.data.category.DefaultIntervalCategoryDataset_ESTest",2,49,0,"PASS","ok",""
"Chart",17,"failed","fixed","GenericAlgorithm/TestCode/Chart_17","org.jfree.data.time.TimeSeries_ESTest",2,52,1,"FAIL","test_failed","19:48:20.672 [main] INFO org.evosuite.runtime.instrumentation.MethodCallReplacementClassAdapter - Adding mock interface to class org/jfree/data/xy/MatrixSeriesCollection
19:48:20.673 [main] INFO org.evosuite.runtime.instrumentation.CreateClassResetClassAdapter - Creating brand-new static initializer in class org/jfree/data/xy/MatrixSeriesCollection
19:48:20.673 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Keeping class: org.jfree.data.xy.MatrixSeriesCollection
.org.jfree.data.time.TimeSeries.add(TimeSeries.java:500)
<evosuite>.<evosuite>(<evosuite>)
<evosuite>.<evosuite>(<evosuite>)
..............E.....org.jfree.data.time.TimeSeries.add(TimeSeries.java:500)
<evosuite>.<evosuite>(<evosuite>)
<evosuite>.<evosuite>(<evosuite>)
...............................
Time: 0.788
There was 1 failure:
1) test45(org.jfree.data.time.TimeSeries_ESTest)
java.lang.AssertionError: Expecting exception: IllegalArgumentException
	at org.junit.Assert.fail(Assert.java:89)
	at org.jfree.data.time.TimeSeries_ESTest.test45(TimeSeries_ESTest.java:597)

FAILURES!!!
Tests run: 52,  Failures: 1"
"Chart",18,"failed","fixed","GenericAlgorithm/TestCode/Chart_18","org.jfree.data.DefaultKeyedValues_ESTest",1,23,2,"FAIL","test_failed","19:48:20.342 [main] INFO org.evosuite.runtime.instrumentation.CreateClassResetClassAdapter - Found static initializer in class org/jfree/chart/util/SortOrder
19:48:20.342 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Keeping class: org.jfree.chart.util.SortOrder
.......E.............E...
Time: 0.798
There were 2 failures:
1) test09(org.jfree.data.DefaultKeyedValues_ESTest)
org.jfree.data.UnknownKeyException: The key (493) is not recognised.
	at org.jfree.data.DefaultKeyedValues.removeValue(DefaultKeyedValues.java:333)
	at org.jfree.data.DefaultKeyedValues_ESTest.test09(DefaultKeyedValues_ESTest.java:115)
2) test11(org.jfree.data.DefaultKeyedValues_ESTest)
java.lang.AssertionError: expected:<1> but was:<0>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotEquals(Assert.java:835)
	at org.junit.Assert.assertEquals(Assert.java:647)
	at org.junit.Assert.assertEquals(Assert.java:633)
	at org.jfree.data.DefaultKeyedValues_ESTest.test11(DefaultKeyedValues_ESTest.java:135)

FAILURES!!!
Tests run: 23,  Failures: 2"
"Chart",18,"failed","fixed","GenericAlgorithm/TestCode/Chart_18","org.jfree.data.DefaultKeyedValues2D_ESTest",2,26,0,"PASS","ok",""
"Chart",19,"ok","fixed","GenericAlgorithm/TestCode/Chart_19","org.jfree.chart.plot.CategoryPlot_ESTest",3,140,0,"PASS","ok",""
"Chart",20,"ok","fixed","GenericAlgorithm/TestCode/Chart_20","org.jfree.chart.plot.ValueMarker_ESTest",2,5,0,"PASS","ok",""
"Chart",21,"ok","fixed","GenericAlgorithm/TestCode/Chart_21","org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset_ESTest",1,45,0,"PASS","ok",""
"Chart",22,"failed","fixed","GenericAlgorithm/TestCode/Chart_22","org.jfree.data.KeyedObjects2D_ESTest",1,17,2,"FAIL","test_failed","java.lang.AssertionError
	at org.junit.Assert.fail(Assert.java:87)
	at org.junit.Assert.assertTrue(Assert.java:42)
	at org.junit.Assert.assertFalse(Assert.java:65)
	at org.junit.Assert.assertFalse(Assert.java:75)
	at org.jfree.data.KeyedObjects2D_ESTest.test02(KeyedObjects2D_ESTest.java:58)
2) test15(org.jfree.data.KeyedObjects2D_ESTest)
java.lang.IndexOutOfBoundsException: Index 1 out of bounds for length 1
	at java.base/jdk.internal.util.Preconditions.outOfBounds(Preconditions.java:64)
	at java.base/jdk.internal.util.Preconditions.outOfBoundsCheckIndex(Preconditions.java:70)
	at java.base/jdk.internal.util.Preconditions.checkIndex(Preconditions.java:248)
	at java.base/java.util.Objects.checkIndex(Objects.java:374)
	at java.base/java.util.ArrayList.get(ArrayList.java:459)
	at org.jfree.data.KeyedObjects2D.getColumnKey(KeyedObjects2D.java:174)
	at org.jfree.data.KeyedObjects2D.removeColumn(KeyedObjects2D.java:382)
	at org.jfree.data.KeyedObjects2D_ESTest.test15(KeyedObjects2D_ESTest.java:251)

FAILURES!!!
Tests run: 17,  Failures: 2"
"Chart",23,"ok","fixed","GenericAlgorithm/TestCode/Chart_23","org.jfree.chart.renderer.category.MinMaxCategoryRenderer_ESTest",2,17,0,"PASS","ok",""
"Chart",24,"ok","fixed","GenericAlgorithm/TestCode/Chart_24","org.jfree.chart.renderer.GrayPaintScale_ESTest",1,8,0,"PASS","ok",""
"Chart",25,"ok","fixed","GenericAlgorithm/TestCode/Chart_25","org.jfree.chart.renderer.category.StatisticalBarRenderer_ESTest",1,12,0,"PASS","ok",""
"Chart",26,"ok","fixed","GenericAlgorithm/TestCode/Chart_26","org.jfree.chart.axis.Axis_ESTest",2,56,0,"PASS","ok",""
"Cli",1,"ok","fixed","GenericAlgorithm/TestCode/Cli_1","org.apache.commons.cli.CommandLine_ESTest",1,16,0,"PASS","ok",""
"Cli",2,"failed","fixed","GenericAlgorithm/TestCode/Cli_2","org.apache.commons.cli.PosixParser_ESTest",1,8,2,"FAIL","test_failed","Time: 0.542
There were 2 failures:
1) test2(org.apache.commons.cli.PosixParser_ESTest)
java.lang.AssertionError: expected:<2> but was:<3>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotEquals(Assert.java:835)
	at org.junit.Assert.assertEquals(Assert.java:647)
	at org.junit.Assert.assertEquals(Assert.java:633)
	at org.apache.commons.cli.PosixParser_ESTest.test2(PosixParser_ESTest.java:61)
2) test1(org.apache.commons.cli.PosixParser_ESTest)
java.lang.AssertionError: expected:<3> but was:<2>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotEquals(Assert.java:835)
	at org.junit.Assert.assertEquals(Assert.java:647)
	at org.junit.Assert.assertEquals(Assert.java:633)
	at org.apache.commons.cli.PosixParser_ESTest.test1(PosixParser_ESTest.java:44)

FAILURES!!!
Tests run: 8,  Failures: 2"
"Cli",3,"failed","fixed","GenericAlgorithm/TestCode/Cli_3","org.apache.commons.cli.TypeHandler_ESTest",1,6,1,"FAIL","test_failed","19:54:28.041 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Error while loading class: java.lang.ClassNotFoundException: Class '91(GR:DpD4/rI.class' should be in target project, but could not be found!
Unable to find: 91(GR:DpD4.rI
E.19:54:28.043 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Seeing class for first time: F1$NFi,WI1
19:54:28.043 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Instrumenting class 'F1$NFi,WI1'.
19:54:28.044 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Error while loading class: java.lang.ClassNotFoundException: Class 'F1$NFi,WI1.class' should be in target project, but could not be found!
Unable to find: F1$NFi,WI1
.
Time: 0.542
There was 1 failure:
1) test3(org.apache.commons.cli.TypeHandler_ESTest)
java.lang.AssertionError: expected null, but was:<91(GR:DpD4.rI>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotNull(Assert.java:756)
	at org.junit.Assert.assertNull(Assert.java:738)
	at org.junit.Assert.assertNull(Assert.java:748)
	at org.apache.commons.cli.TypeHandler_ESTest.test3(TypeHandler_ESTest.java:48)

FAILURES!!!
Tests run: 6,  Failures: 1"
"Cli",4,"ok","fixed","GenericAlgorithm/TestCode/Cli_4","org.apache.commons.cli.Parser_ESTest",1,12,0,"PASS","ok",""
"Cli",5,"ok","fixed","GenericAlgorithm/TestCode/Cli_5","org.apache.commons.cli.Util_ESTest",1,6,0,"PASS","ok",""
"Cli",7,"ok","fixed","GenericAlgorithm/TestCode/Cli_7","org.apache.commons.cli2.builder.PatternBuilder_ESTest",1,14,0,"PASS","ok",""
"Cli",8,"ok","fixed","GenericAlgorithm/TestCode/Cli_8","org.apache.commons.cli.HelpFormatter_ESTest",1,35,0,"PASS","ok",""
"Cli",9,"ok","fixed","GenericAlgorithm/TestCode/Cli_9","org.apache.commons.cli.Parser_ESTest",1,17,0,"PASS","ok",""
"Cli",10,"ok","fixed","GenericAlgorithm/TestCode/Cli_10","org.apache.commons.cli.Parser_ESTest",1,13,0,"PASS","ok",""
"Cli",11,"ok","fixed","GenericAlgorithm/TestCode/Cli_11","org.apache.commons.cli.HelpFormatter_ESTest",1,35,0,"PASS","ok",""
"Cli",12,"ok","fixed","GenericAlgorithm/TestCode/Cli_12","org.apache.commons.cli.GnuParser_ESTest",2,4,0,"PASS","ok",""
"Cli",13,"ok","fixed","GenericAlgorithm/TestCode/Cli_13","org.apache.commons.cli2.option.ArgumentImpl_ESTest",1,24,0,"PASS","ok",""
"Cli",13,"ok","fixed","GenericAlgorithm/TestCode/Cli_13","org.apache.commons.cli2.WriteableCommandLine_ESTest",0,1,0,"PASS","ok",""
"Cli",13,"ok","fixed","GenericAlgorithm/TestCode/Cli_13","org.apache.commons.cli2.commandline.WriteableCommandLineImpl_ESTest",2,25,0,"PASS","ok",""
"Cli",14,"ok","fixed","GenericAlgorithm/TestCode/Cli_14","org.apache.commons.cli2.option.GroupImpl_ESTest",1,25,0,"PASS","ok",""
"Cli",15,"ok","fixed","GenericAlgorithm/TestCode/Cli_15","org.apache.commons.cli2.commandline.WriteableCommandLineImpl_ESTest",1,27,0,"PASS","ok",""
"Cli",16,"ok","fixed","GenericAlgorithm/TestCode/Cli_16","org.apache.commons.cli2.option.GroupImpl_ESTest",1,27,0,"PASS","ok",""
"Cli",16,"ok","fixed","GenericAlgorithm/TestCode/Cli_16","org.apache.commons.cli2.Option_ESTest",0,1,0,"PASS","ok",""
"Cli",16,"ok","fixed","GenericAlgorithm/TestCode/Cli_16","org.apache.commons.cli2.option.OptionImpl_ESTest",2,13,0,"PASS","ok",""
"Cli",16,"ok","fixed","GenericAlgorithm/TestCode/Cli_16","org.apache.commons.cli2.commandline.WriteableCommandLineImpl_ESTest",1,31,0,"PASS","ok",""
"Cli",17,"ok","fixed","GenericAlgorithm/TestCode/Cli_17","org.apache.commons.cli.PosixParser_ESTest",1,8,0,"PASS","ok",""
"Cli",18,"ok","fixed","GenericAlgorithm/TestCode/Cli_18","org.apache.commons.cli.PosixParser_ESTest",1,10,0,"PASS","ok",""
"Cli",19,"failed","fixed","GenericAlgorithm/TestCode/Cli_19","org.apache.commons.cli.PosixParser_ESTest",1,8,1,"FAIL","test_failed","20:25:17.614 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Keeping class: org.apache.commons.cli.Option
20:25:17.614 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Seeing class for first time: org.apache.commons.cli.Util
20:25:17.614 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Instrumenting class 'org.apache.commons.cli.Util'.
20:25:17.615 [main] INFO org.evosuite.runtime.instrumentation.MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/commons/cli/Util
20:25:17.617 [main] INFO org.evosuite.runtime.instrumentation.CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/commons/cli/Util
20:25:17.617 [main] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Keeping class: org.apache.commons.cli.Util
...E.....
Time: 0.52
There was 1 failure:
1) test2(org.apache.commons.cli.PosixParser_ESTest)
java.lang.AssertionError: expected:<0> but was:<1>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotEquals(Assert.java:835)
	at org.junit.Assert.assertEquals(Assert.java:647)
	at org.junit.Assert.assertEquals(Assert.java:633)
	at org.apache.commons.cli.PosixParser_ESTest.test2(PosixParser_ESTest.java:55)

FAILURES!!!
Tests run: 8,  Failures: 1"
