"project","bug_id","subject_status","target_class","source_file","algorithm","seed","search_budget_seconds","client_memory_mb","generation_seconds","generated_test_methods","test_execution","line_coverage_percent","branch_coverage_percent","target_status","error"
"Cli",1,"ok","org.apache.commons.cli.CommandLine","Resoucre/Cli_1/org/apache/commons/cli/CommandLine.java","STANDARD_GA",20260918,60,2048,8,16,"PASS",100.00,100.00,"ok",""
"Cli",2,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_2/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,66,8,"PASS",97.06,93.33,"ok",""
"Cli",3,"failed","org.apache.commons.cli.TypeHandler","Resoucre/Cli_3/org/apache/commons/cli/TypeHandler.java","STANDARD_GA",20260918,60,2048,65,6,"FAIL",76.36,82.14,"test_failed","19:52:32.973 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Error while loading class: java.lang.ClassNotFoundException: Class '91(GR:DpD4/rI.class' should be in target project, but could not be found!
Unable to find: 91(GR:DpD4.rI
E.19:52:32.975 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Seeing class for first time: F1$NFi,WI1
19:52:32.975 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Instrumenting class 'F1$NFi,WI1'.
19:52:32.975 [Time-limited test] INFO org.evosuite.runtime.instrumentation.EvoClassLoader - Error while loading class: java.lang.ClassNotFoundException: Class 'F1$NFi,WI1.class' should be in target project, but could not be found!
Unable to find: F1$NFi,WI1
.
Time: 0.68
There was 1 failure:
1) test3(org.apache.commons.cli.TypeHandler_ESTest)
java.lang.AssertionError: expected null, but was:<91(GR:DpD4.rI>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotNull(Assert.java:756)
	at org.junit.Assert.assertNull(Assert.java:738)
	at org.junit.Assert.assertNull(Assert.java:748)
	at org.apache.commons.cli.TypeHandler_ESTest.test3(TypeHandler_ESTest.java:48)

FAILURES!!!
Tests run: 6,  Failures: 1"
"Cli",4,"ok","org.apache.commons.cli.Parser","Resoucre/Cli_4/org/apache/commons/cli/Parser.java","STANDARD_GA",20260918,60,2048,68,12,"PASS",63.64,56.94,"ok",""
"Cli",5,"ok","org.apache.commons.cli.Util","Resoucre/Cli_5/org/apache/commons/cli/Util.java","STANDARD_GA",20260918,60,2048,5,6,"PASS",100.00,100.00,"ok",""
"Cli",7,"ok","org.apache.commons.cli2.builder.PatternBuilder","Resoucre/Cli_7/org/apache/commons/cli2/builder/PatternBuilder.java","STANDARD_GA",20260918,60,2048,66,14,"PASS",98.53,85.03,"ok",""
"Cli",8,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_8/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,72,35,"PASS",100.00,94.81,"ok",""
"Cli",9,"ok","org.apache.commons.cli.Parser","Resoucre/Cli_9/org/apache/commons/cli/Parser.java","STANDARD_GA",20260918,60,2048,69,17,"PASS",86.67,79.22,"ok",""
"Cli",10,"ok","org.apache.commons.cli.Parser","Resoucre/Cli_10/org/apache/commons/cli/Parser.java","STANDARD_GA",20260918,60,2048,68,13,"PASS",86.79,79.22,"ok",""
"Cli",11,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_11/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,85,35,"PASS",98.99,92.03,"ok",""
"Cli",12,"ok","org.apache.commons.cli.GnuParser","Resoucre/Cli_12/org/apache/commons/cli/GnuParser.java","STANDARD_GA",20260918,60,2048,10,4,"PASS",100.00,100.00,"ok",""
"Cli",13,"ok","org.apache.commons.cli2.commandline.WriteableCommandLineImpl","Resoucre/Cli_13/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java","STANDARD_GA",20260918,60,2048,67,25,"PASS",100.00,96.30,"ok",""
"Cli",13,"ok","org.apache.commons.cli2.option.ArgumentImpl","Resoucre/Cli_13/org/apache/commons/cli2/option/ArgumentImpl.java","STANDARD_GA",20260918,60,2048,82,24,"PASS",92.24,96.04,"ok",""
"Cli",13,"ok","org.apache.commons.cli2.WriteableCommandLine","Resoucre/Cli_13/org/apache/commons/cli2/WriteableCommandLine.java","STANDARD_GA",20260918,60,2048,2,1,"PASS",100.00,100.00,"ok",""
"Cli",14,"ok","org.apache.commons.cli2.option.GroupImpl","Resoucre/Cli_14/org/apache/commons/cli2/option/GroupImpl.java","STANDARD_GA",20260918,60,2048,73,25,"PASS",75.66,76.43,"ok",""
"Cli",15,"ok","org.apache.commons.cli2.commandline.WriteableCommandLineImpl","Resoucre/Cli_15/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java","STANDARD_GA",20260918,60,2048,68,27,"PASS",100.00,96.77,"ok",""
"Cli",16,"ok","org.apache.commons.cli2.commandline.WriteableCommandLineImpl","Resoucre/Cli_16/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java","STANDARD_GA",20260918,60,2048,68,31,"PASS",100.00,97.22,"ok",""
"Cli",16,"ok","org.apache.commons.cli2.Option","Resoucre/Cli_16/org/apache/commons/cli2/Option.java","STANDARD_GA",20260918,60,2048,1,1,"PASS",100.00,100.00,"ok",""
"Cli",16,"ok","org.apache.commons.cli2.option.GroupImpl","Resoucre/Cli_16/org/apache/commons/cli2/option/GroupImpl.java","STANDARD_GA",20260918,60,2048,72,27,"PASS",78.31,78.98,"ok",""
"Cli",16,"ok","org.apache.commons.cli2.option.OptionImpl","Resoucre/Cli_16/org/apache/commons/cli2/option/OptionImpl.java","STANDARD_GA",20260918,60,2048,67,13,"PASS",98.21,88.89,"ok",""
"Cli",17,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_17/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,66,8,"PASS",95.52,91.11,"ok",""
"Cli",18,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_18/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,66,10,"PASS",96.97,93.33,"ok",""
"Cli",19,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_19/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,66,8,"PASS",96.92,93.18,"ok",""
"Cli",20,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_20/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,65,9,"PASS",93.75,88.64,"ok",""
"Cli",21,"ok","org.apache.commons.cli2.commandline.WriteableCommandLineImpl","Resoucre/Cli_21/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java","STANDARD_GA",20260918,60,2048,70,30,"PASS",100.00,97.44,"ok",""
"Cli",21,"ok","org.apache.commons.cli2.option.GroupImpl","Resoucre/Cli_21/org/apache/commons/cli2/option/GroupImpl.java","STANDARD_GA",20260918,60,2048,73,24,"PASS",80.73,81.48,"ok",""
"Cli",21,"ok","org.apache.commons.cli2.WriteableCommandLine","Resoucre/Cli_21/org/apache/commons/cli2/WriteableCommandLine.java","STANDARD_GA",20260918,60,2048,1,1,"PASS",100.00,100.00,"ok",""
"Cli",22,"ok","org.apache.commons.cli.PosixParser","Resoucre/Cli_22/org/apache/commons/cli/PosixParser.java","STANDARD_GA",20260918,60,2048,66,9,"PASS",98.25,92.68,"ok",""
"Cli",23,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_23/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,72,37,"PASS",99.49,93.57,"ok",""
"Cli",24,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_24/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,75,38,"PASS",98.99,90.28,"ok",""
"Cli",25,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_25/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,73,36,"PASS",99.49,91.67,"ok",""
